epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,686.727,1.44341,0.89859,1.2284,0.99237,0.98667,0.99461,0.58734,1.40976,0.62322,1.21544,0.000648148,0.000648148,0.000648148
2,1406.41,1.39084,0.77061,1.19013,0.96434,0.94667,0.98872,0.56287,1.47009,0.64351,1.211,0.00105448,0.00105448,0.00105448
3,1888.94,1.35293,0.75081,1.1852,0.97734,0.97333,0.99198,0.56667,1.41874,0.66927,1.19996,0.00119681,0.00119681,0.00119681
4,2374.15,1.32807,0.71366,1.17746,0.97396,0.99736,0.994,0.56614,1.42847,0.59176,1.22407,0.000812,0.000812,0.000812
5,2900.85,1.29994,0.68381,1.14973,0.97472,0.98667,0.99447,0.60396,1.34097,0.57501,1.16312,0.000416,0.000416,0.000416
