step	pg0
0	0.0006481481481481481
1	0.001228037037037037
2	0.0017199259259259262
3	0.0016040000000000002
4	0.0014720000000000002
5	0.00134
6	0.001208
7	0.0010760000000000001
8	0.0009440000000000001
9	0.0008120000000000001
10	0.00068
11	0.0005480000000000002
12	0.0004159999999999999
13	0.00028399999999999996
14	0.00015199999999999998
