epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,66.1632,1.34089,1.02295,1.23076,0.56235,0.79661,0.71991,0.4008,0.89904,33.0528,0.78632,0.000648649,0.000648649,0.000648649
2,129.473,1.34754,0.95201,1.18518,0.49408,0.86441,0.68679,0.34498,1.00784,20.969,0.81242,0.0012285,0.0012285,0.0012285
3,191.75,1.3224,0.92598,1.16011,0.54666,0.76271,0.70635,0.31606,1.12806,15.1861,0.89254,0.00172036,0.00172036,0.00172036
4,254.842,1.42813,0.92741,1.19353,0.51671,0.77922,0.63604,0.38312,0.85704,12.5787,0.76169,0.001604,0.001604,0.001604
5,317.099,1.30964,0.88286,1.16742,0.47553,0.72231,0.5548,0.31316,0.86577,17.0797,0.77886,0.001472,0.001472,0.001472
6,379.75,1.1808,0.77397,1.12957,0.52541,0.86441,0.60316,0.32842,0.91856,18.4804,0.77884,0.00134,0.00134,0.00134
7,441.069,1.21528,0.72139,1.13166,0.55173,0.84746,0.71059,0.39623,0.85044,25.2754,0.7658,0.001208,0.001208,0.001208
8,502.351,1.16535,0.65929,1.10778,0.53312,0.83222,0.63216,0.35135,0.94009,23.8257,0.79729,0.001076,0.001076,0.001076
9,563.757,1.15144,0.67158,1.11504,0.43879,0.84814,0.54562,0.24947,1.11005,23.9583,0.8775,0.000944,0.000944,0.000944
10,625.919,1.15051,0.63447,1.1121,0.45594,0.89831,0.63269,0.34458,0.90054,24.6712,0.7729,0.000812,0.000812,0.000812
11,687.753,1.19167,0.61456,1.12332,0.45373,0.89831,0.62256,0.32297,0.91168,29.1628,0.77953,0.00068,0.00068,0.00068
