epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,723.816,1.39138,0.96175,1.28471,0.96305,0.96,0.98178,0.45948,1.73138,0.91252,1.32325,0.000661538,0.000661538,0.000661538
2,1434.8,1.40147,0.87294,1.28929,0.93839,0.91385,0.96805,0.51037,1.53842,0.94824,1.2702,0.00119671,0.00119671,0.00119671
3,2099.71,1.39605,0.79912,1.29128,0.98612,0.94694,0.99174,0.44935,1.81776,0.82178,1.32599,0.00159989,0.00159989,0.00159989
4,2819.2,1.34874,0.71903,1.2497,0.90103,0.97333,0.98242,0.48779,1.52469,0.87197,1.26922,0.001406,0.001406,0.001406
5,3505.13,1.36937,0.70029,1.28141,0.98212,0.95333,0.99083,0.51798,1.5836,0.70795,1.24887,0.001208,0.001208,0.001208
6,4206.49,1.33297,0.63132,1.22847,0.99367,0.96667,0.99364,0.54493,1.46974,0.64783,1.22165,0.00101,0.00101,0.00101
7,4906.5,1.32194,0.63569,1.21568,0.97566,0.98667,0.99309,0.51144,1.49332,0.63519,1.22316,0.000812,0.000812,0.000812
8,5610.42,1.28589,0.57721,1.19756,0.99328,0.98469,0.99474,0.55182,1.42558,0.60363,1.1917,0.000614,0.000614,0.000614
9,6290.31,1.26038,0.55496,1.18644,0.99906,0.99333,0.995,0.50996,1.54348,0.59913,1.22733,0.000416,0.000416,0.000416
