epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,39.6281,1.63114,1.37712,1.37365,0.42343,0.94915,0.48779,0.27593,0.94352,51.9341,0.77892,0.0004,0.0004,0.0004
2,78.7191,1.42499,1.17233,1.30366,0.45237,0.89831,0.54235,0.32646,0.84929,19.7917,0.77076,0.00076588,0.00076588,0.00076588
3,117.106,1.4011,1.07198,1.26059,0.4676,0.88136,0.57705,0.31589,0.92233,20.4937,0.79476,0.00107632,0.00107632,0.00107632
4,155.644,1.37836,1.01485,1.24439,0.41751,0.91525,0.49739,0.28882,0.85259,26.8898,0.76538,0.00133132,0.00133132,0.00133132
5,193.971,1.36015,1.04323,1.23007,0.3871,0.94915,0.42611,0.26211,0.77012,26.0578,0.73212,0.001472,0.001472,0.001472
6,233.163,1.27285,0.98899,1.17852,0.39301,0.9661,0.42588,0.26326,0.76411,16.2606,0.73072,0.00134,0.00134,0.00134
7,271.391,1.22654,0.87187,1.1531,0.39972,0.91525,0.39605,0.22901,0.80485,33.9853,0.76129,0.001208,0.001208,0.001208
8,309.704,1.28039,0.86105,1.21384,0.39687,0.91525,0.40015,0.22021,0.88338,30.4404,0.8214,0.001076,0.001076,0.001076
9,348.056,1.30162,0.87777,1.19432,0.38572,0.91525,0.39617,0.23582,0.75705,35.7629,0.7195,0.000944,0.000944,0.000944
10,386.186,1.253,0.84816,1.18546,0.39999,0.9322,0.40018,0.22967,0.86732,34.6397,0.75779,0.000812,0.000812,0.000812
11,424.639,1.24371,0.80847,1.17067,0.39303,0.89996,0.4116,0.25449,0.77759,30.0402,0.72514,0.00068,0.00068,0.00068
12,463.448,1.18681,0.76948,1.16282,0.39338,0.98305,0.40388,0.242,0.80545,31.0759,0.72942,0.000548,0.000548,0.000548
